feature type = k=10, feature = telephone, log-likelihood score = 3.95124, sense = phone
feature type = -1 & +1, feature = ps/2 of, log-likelihood score = 1.09861, sense = product
feature type = -1 & +1, feature = trading to, log-likelihood score = 1.09861, sense = phone
feature type = -1 & +1, feature = the and, log-likelihood score = 1.09861, sense = phone
feature type = -1 & +1, feature = 000 mainly, log-likelihood score = 1.09861, sense = phone
feature type = -1 & +1, feature = telephone growth, log-likelihood score = 1.09861, sense = phone
feature type = -1 & +1, feature = current of, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = 4, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = establish, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = more, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = skin, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = selling, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = tip, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = thousand, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = busy, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = microprocessor, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = complete, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = luxury, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = outside, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = increase, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = corp, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = 's, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = made, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = similar, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = launch, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = software, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = popular, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = such, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = apparel, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = volume, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = whose, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = secure, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = acquired, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = building, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = you, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = 100, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = sell, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = american, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = charges, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = poorest, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = added, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = built, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = company, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = rose, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = shoes, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = marketing, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = full, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = under, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = expected, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = once, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = equipment, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = sales, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = him, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = women's, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = 570, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = mainly, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = heard, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = another, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = year, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = voice, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = information, log-likelihood score = 1.09861, sense = phone
feature type = k=3, feature = vax, log-likelihood score = 1.09861, sense = product
feature type = k=3, feature = chat, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = establish, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = kraft, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = current, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = powerful, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = skin, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = consider, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = tip, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = hundred, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = thousand, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = microprocessor, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = 1, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = luxury, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = outside, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = smith, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = operator, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = communications, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = 24, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = merlin, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = corp, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = similar, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = launch, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = drugs, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = several, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = volume, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = whose, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = secure, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = acquired, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = pc, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = building, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = year, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = will, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = continue, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = american, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = charges, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = poorest, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = sources, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = systems, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = toys, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = cars, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = own, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = april, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = dinners, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = special, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = rose, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = introduce, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = shoes, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = manufacturing, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = marketing, log-likelihood score = 1.09861, sense = product
feature type = k=5, feature = asked, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = ago, log-likelihood score = 1.09861, sense = phone
feature type = k=5, feature = 500, log-likelihood score = 1.09861, sense = phone
